NEO-PI Personality Inventory 3 Norsk versjon,NEO-PI Personality Inventory 3 Norwegian edition
Standardrapport,Standard report
Oversikt,Overview
OVERSIKT,OVERVIEW
Denne standardrapporten inneholder respondentens skåre på personlighetstesten NEO-PI-3. Rapporten beskriver respondentens personlighet med utgangspunkt i de fem store personlighetsfaktorene.,This standard report contains the respondents NEO-PI-3 personality test scores. The report descripes the respondents personality from the perspective of the five big personality factors.
Resultatet er basert på respondentens selvrapportering. Råskåren for de fem faktorene og de 30 fasettene konverteres til T-skåre.,The result is based on the respondent's self-reports. The raw scores of the five factors and the 30 facets are converted to T-sckores.
"Respondentens skårer sammenlignes med skåren til normgruppen: Normalnorm, menn.",The respondent’s scores are compared to the scores of the norm group: General male population norm.
"Respondentens skårer sammenlignes med skåren til normgruppen: Normalnorm, kvinner.",The respondent’s scores are compared to the scores of the norm group: General female population norm.
Innhold,Contents
Profil (grafisk) Profil (numerisk) Egne felt,Profile (graphic) Profile (numeric) Custom fields
PROFIL (GRAFISK),PROFILE (GRAPHIC)
Profil (grafisk),Profile (graphic)
PROFIL (NUMERISK),PROFILE (NUMERIC)
Profil (numerisk),Profile (numeric)
Egne felt,Custom fields
Egne felt,Custom fields
Kun psykologer eller sertifiserte brukere bør tolke testresultater. Vennligst respekter de retningslinjene som gjelder for de respektive yrkesforeningene.,The test results should be interpreted by psychologists or certified users only. Please comply with applicable guidlelines from professional associations.
Testdato,Test date
Fødselsdato,Date of Birth
Dato,Date
Kjønn k,Gender f
Kjønn m,Gender m
Kjønn,Gender
m,m
k,f
Faktor,Factor
Fasett,Facet
Faktor Ekstroversjon,Factor Extroversion
Fasetter Ekstroversjon,Facets Extroversion
Faktor Åpenhet for erfaring,Factor Openness to experience
Fasetter Åpenhet for erfaring,Facets Openness to experience
Faktor Planmessighet,Factor Conscientiousness
Fasetter Planmessighet,Factor Conscientiousness
Faktor Omgjengelighet,Factor Agreeableness
Fasetter Omgjengelighet,Facets Agreeableness
Faktor Følelsesmessig instabilitet,Factor Neuroticism
Fasetter Følelsesmessig instabilitet,Facets Neuroticism
Engstelse Fiendtlighet Depresjon Selvbevissthet Impulsivitet,Anxiety Angry Hostility Depression Self‑Consciousness Impulsiveness
Varme Sosiabilitet Selvmarkering Aktivitet Spenningssøking,Warmth Gregariousness Assertiveness Activity Excitement Seeking
Fantasi Estetikk Følelser Handlinger Ideer,Fantasy Aesthetics Feelings Actions Ideas
Tillit Rettfremhet Altruisme Føyelighet Beskjedenhet,Trust Straightforwardness Altruism Compliance Modesty
Kompetanse ,Competence
Orden Plikttroskap,Order Dutifulness
Prestasjonsstreben ,Achievement Striving
Selvdisiplin, Self-Discipline
Betenksomhet, Deliberation
Ekstroversjon,Extroversion
Varme,Warmth
Sosiabilitet,Gregariousness
Selvmarkering,Assertiveness
Aktivitet,Activity
Spenningssøking,Excitement Seeking
Positive følelser,Positive Emotions
Omgjengelighet,Agreeableness
Tillit,Trust
Rettfremhet,Straightforwardness
Altruisme,Altruism
Føyelighet,Compliance
Beskjedenhet,Modesty
Følsomhet,Tender-Mindedness
Planmessighet,Conscientiousness
Kompetanse,Competence
Orden,Order
Plikttroskap,Dutifulness
Prestasjonsstreben,Achievement Striving
Selvdisiplin,Self-Discipline
Betenksomhet,Deliberation
Følelsesmessig instabilitet,Neuroticism
Engstelse,Anxiety
Fiendtlighet,Angry Hostility
Depresjon,Depression
Selvbevissthet,Self‑Consciousness
Impulsivitet,Impulsiveness
Sårbarhet,Vulnerability
Åpenhet for erfaring,Openness to experience
Fantasi,Fantasy
Estetikk,Aesthetics
Følelser,Feelings
Handlinger,Actions 
Ideer,Ideas
Verdier,Values
T-skåre,T-Score
Råskåre,Raw score
Skalert skåre,Scaled score
Skala,Scale
~Testdato,Test date
~Fødselsdato,Birth date
Tittel,Title